config,model,phase,status,ref_distance_deg,ref_depth_km,n_rows_used,n_rows_qc_ok,t_p_abs_s,t_phase_abs_s,diff_time_s,diff_slowness_sdeg,p_slowness_sdeg,phase_slowness_sdeg,box_t_min,box_t_max,box_p_min,box_p_max,flag_extend_slowness,flag_extend_cut
I16-IMP,vpremoon,ScS,target,34.0,0.0,19.0,19.0,144.31,621.92,477.61,-3.195,3.728,0.533,437.61,517.61,-4.695,-1.695,False,False
I16-IMP,weber2011,PcP,target,34.0,0.0,19.0,19.0,145.58,367.75,222.17,-3.439,3.697,0.258,182.17,262.17,-4.939,-1.939,False,False
I16-IMP,weber2011,PKiKP,target,34.0,0.0,19.0,19.0,145.58,410.81,265.23,-3.487,3.697,0.21,225.23,305.23,-4.987,-1.987,False,False
I16-IMP,weber2011,PKKP,phase_absent,34.0,0.0,,,,,,,,,,,,,,
I16-IMP,weber2011,PKPPKP,phase_absent,34.0,0.0,,,,,,,,,,,,,,
I16-IMP,weber2011,PKP,phase_absent,34.0,0.0,,,,,,,,,,,,,,
I16-IMP,weber2011,ScS,target,34.0,0.0,19.0,19.0,145.58,685.85,540.26,-3.178,3.697,0.52,500.26,580.26,-4.678,-1.678,False,False
P12-DM,vpremoon,PcP,target,33.5,925.0,4.0,4.0,150.02,233.16,83.13,-1.138,1.484,0.346,43.13,123.13,-2.638,0.362,False,False
P12-DM,vpremoon,PKiKP,phase_absent,33.5,925.0,,,,,,,,,,,,,,
P12-DM,vpremoon,PKKP,phase_absent,33.5,925.0,,,,,,,,,,,,,,
P12-DM,vpremoon,PKPPKP,target,33.5,925.0,4.0,4.0,150.02,938.52,788.5,-1.004,1.484,0.48,748.5,828.5,-2.504,0.496,False,False
P12-DM,vpremoon,PKP,phase_absent,33.5,925.0,,,,,,,,,,,,,,
P12-DM,vpremoon,ScS,target,33.5,925.0,4.0,4.0,150.02,410.36,260.34,-0.871,1.484,0.612,220.34,300.34,-2.371,0.629,False,False
P12-DM,weber2011,PcP,target,33.5,925.0,4.0,4.0,150.78,245.68,94.9,-1.163,1.454,0.29,54.9,134.9,-2.663,0.337,False,False
P12-DM,weber2011,PKiKP,target,33.5,925.0,4.0,4.0,150.78,288.54,137.76,-1.223,1.454,0.231,97.76,177.76,-2.723,0.277,False,False
P12-DM,weber2011,PKKP,phase_absent,33.5,925.0,,,,,,,,,,,,,,
P12-DM,weber2011,PKPPKP,phase_absent,33.5,925.0,,,,,,,,,,,,,,
P12-DM,weber2011,PKP,phase_absent,33.5,925.0,,,,,,,,,,,,,,
P12-DM,weber2011,ScS,target,33.5,925.0,4.0,4.0,150.78,469.25,318.48,-0.859,1.454,0.595,278.48,358.48,-2.359,0.641,False,False
P12-DM-wide,vpremoon,PcP,target,27.5,925.0,7.0,7.0,141.59,231.25,89.67,-1.033,1.322,0.289,49.67,129.67,-2.533,0.467,False,False
P12-DM-wide,vpremoon,PKiKP,phase_absent,27.5,925.0,,,,,,,,,,,,,,
P12-DM-wide,vpremoon,PKKP,phase_absent,27.5,925.0,,,,,,,,,,,,,,
P12-DM-wide,vpremoon,PKPPKP,target,27.5,925.0,7.0,7.0,141.59,935.81,794.23,-0.899,1.322,0.422,754.23,834.23,-2.399,0.601,False,False
P12-DM-wide,vpremoon,PKP,phase_absent,27.5,925.0,,,,,,,,,,,,,,
P12-DM-wide,vpremoon,ScS,target,27.5,925.0,7.0,7.0,141.59,406.99,265.4,-0.811,1.322,0.51,225.4,305.4,-2.311,0.689,False,False
P12-DM-wide,weber2011,PcP,target,27.5,925.0,7.0,7.0,142.48,244.08,101.6,-1.062,1.303,0.241,61.6,141.6,-2.562,0.438,False,False
P12-DM-wide,weber2011,PKiKP,target,27.5,925.0,7.0,7.0,142.48,287.27,144.79,-1.112,1.303,0.191,104.79,184.79,-2.612,0.388,False,False
P12-DM-wide,weber2011,PKKP,phase_absent,27.5,925.0,,,,,,,,,,,,,,
P12-DM-wide,weber2011,PKPPKP,phase_absent,27.5,925.0,,,,,,,,,,,,,,
P12-DM-wide,weber2011,PKP,phase_absent,27.5,925.0,,,,,,,,,,,,,,
P12-DM-wide,weber2011,ScS,target,27.5,925.0,7.0,7.0,142.48,465.99,323.51,-0.81,1.303,0.493,283.51,363.51,-2.31,0.69,False,False
P14-DM,vpremoon,PcP,target,36.5,1000.0,5.0,5.0,159.11,225.25,66.14,-0.969,1.355,0.386,26.14,106.14,-2.469,0.531,False,False
P14-DM,vpremoon,PKiKP,phase_absent,36.5,1000.0,,,,,,,,,,,,,,
P14-DM,vpremoon,PKKP,phase_absent,36.5,1000.0,,,,,,,,,,,,,,
P14-DM,vpremoon,PKPPKP,target,36.5,1000.0,5.0,5.0,159.11,931.22,772.11,-0.835,1.355,0.52,732.11,812.11,-2.335,0.665,False,False
P14-DM,vpremoon,PKP,phase_absent,36.5,1000.0,,,,,,,,,,,,,,
P14-DM,vpremoon,ScS,target,36.5,1000.0,5.0,5.0,159.11,396.41,237.3,-0.673,1.355,0.683,197.3,277.3,-2.173,0.827,False,False
P14-DM,weber2011,PcP,target,36.5,1000.0,5.0,5.0,159.25,237.94,78.68,-0.997,1.321,0.323,38.68,118.68,-2.497,0.503,False,False
P14-DM,weber2011,PKiKP,target,36.5,1000.0,5.0,5.0,159.25,280.55,121.3,-1.064,1.321,0.257,81.3,161.3,-2.564,0.436,False,False
P14-DM,weber2011,PKKP,phase_absent,36.5,1000.0,,,,,,,,,,,,,,
P14-DM,weber2011,PKPPKP,phase_absent,36.5,1000.0,,,,,,,,,,,,,,
P14-DM,weber2011,PKP,phase_absent,36.5,1000.0,,,,,,,,,,,,,,
P14-DM,weber2011,ScS,target,36.5,1000.0,5.0,5.0,159.25,454.85,295.59,-0.656,1.321,0.664,255.59,335.59,-2.156,0.844,False,False
P14-DM-wide,vpremoon,PcP,target,36.5,975.0,11.0,11.0,157.55,228.23,70.69,-1.037,1.418,0.382,30.69,110.69,-2.537,0.463,False,False
P14-DM-wide,vpremoon,PKiKP,phase_absent,36.5,975.0,,,,,,,,,,,,,,
P14-DM-wide,vpremoon,PKKP,phase_absent,36.5,975.0,,,,,,,,,,,,,,
P14-DM-wide,vpremoon,PKPPKP,target,36.5,975.0,11.0,11.0,157.55,934.13,776.59,-0.903,1.418,0.515,736.59,816.59,-2.403,0.597,False,False
P14-DM-wide,vpremoon,PKP,phase_absent,36.5,975.0,,,,,,,,,,,,,,
P14-DM-wide,vpremoon,ScS,target,36.5,975.0,11.0,11.0,157.55,401.68,244.13,-0.743,1.418,0.675,204.13,284.13,-2.243,0.757,False,False
P14-DM-wide,weber2011,PcP,target,36.5,975.0,11.0,11.0,157.85,240.82,82.97,-1.063,1.383,0.32,42.97,122.97,-2.563,0.437,False,False
P14-DM-wide,weber2011,PKiKP,target,36.5,975.0,11.0,11.0,157.85,283.45,125.6,-1.129,1.383,0.254,85.6,165.6,-2.629,0.371,False,False
P14-DM-wide,weber2011,PKKP,phase_absent,36.5,975.0,,,,,,,,,,,,,,
P14-DM-wide,weber2011,PKPPKP,phase_absent,36.5,975.0,,,,,,,,,,,,,,
P14-DM-wide,weber2011,PKP,phase_absent,36.5,975.0,,,,,,,,,,,,,,
P14-DM-wide,weber2011,ScS,target,36.5,975.0,11.0,11.0,157.85,460.26,302.41,-0.726,1.383,0.657,262.41,342.41,-2.226,0.774,False,False
P15-DM,vpremoon,PcP,target,31.0,925.0,5.0,5.0,146.39,232.32,85.93,-1.099,1.422,0.323,45.93,125.93,-2.599,0.401,False,False
P15-DM,vpremoon,PKiKP,phase_absent,31.0,925.0,,,,,,,,,,,,,,
P15-DM,vpremoon,PKKP,phase_absent,31.0,925.0,,,,,,,,,,,,,,
P15-DM,vpremoon,PKPPKP,target,31.0,925.0,5.0,5.0,146.39,937.35,790.96,-0.965,1.422,0.457,750.96,830.96,-2.465,0.535,False,False
P15-DM,vpremoon,PKP,phase_absent,31.0,925.0,,,,,,,,,,,,,,
P15-DM,vpremoon,ScS,target,31.0,925.0,5.0,5.0,146.39,408.88,262.49,-0.851,1.422,0.57,222.49,302.49,-2.351,0.649,False,False
P15-DM,weber2011,PcP,target,31.0,925.0,5.0,5.0,147.21,244.98,97.77,-1.127,1.397,0.27,57.77,137.77,-2.627,0.373,False,False
P15-DM,weber2011,PKiKP,target,31.0,925.0,5.0,5.0,147.21,287.98,140.77,-1.183,1.397,0.214,100.77,180.77,-2.683,0.317,False,False
P15-DM,weber2011,PKKP,phase_absent,31.0,925.0,,,,,,,,,,,,,,
P15-DM,weber2011,PKPPKP,phase_absent,31.0,925.0,,,,,,,,,,,,,,
P15-DM,weber2011,PKP,phase_absent,31.0,925.0,,,,,,,,,,,,,,
P15-DM,weber2011,ScS,target,31.0,925.0,5.0,5.0,147.21,467.82,320.61,-0.844,1.397,0.553,280.61,360.61,-2.344,0.656,False,False
P15-DM-wide,vpremoon,PcP,target,39.5,925.0,16.0,16.0,159.3,235.4,76.11,-1.199,1.6,0.401,36.11,116.11,-2.699,0.301,False,False
P15-DM-wide,vpremoon,PKiKP,phase_absent,39.5,925.0,,,,,,,,,,,,,,
P15-DM-wide,vpremoon,PKKP,phase_absent,39.5,925.0,,,,,,,,,,,,,,
P15-DM-wide,vpremoon,PKPPKP,target,39.5,925.0,16.0,16.0,159.3,941.56,782.26,-1.071,1.6,0.529,742.26,822.26,-2.571,0.429,False,False
P15-DM-wide,vpremoon,PKP,phase_absent,39.5,925.0,,,,,,,,,,,,,,
P15-DM-wide,vpremoon,ScS,target,39.5,925.0,16.0,16.0,159.3,414.33,255.03,-0.891,1.6,0.709,215.03,295.03,-2.391,0.609,False,False
P15-DM-wide,weber2011,PcP,target,39.5,925.0,16.0,16.0,159.83,247.56,87.73,-1.22,1.558,0.338,47.73,127.73,-2.72,0.28,False,False
P15-DM-wide,weber2011,PKiKP,target,39.5,925.0,16.0,16.0,159.83,290.04,130.21,-1.288,1.558,0.27,90.21,170.21,-2.788,0.212,False,False
P15-DM-wide,weber2011,PKKP,phase_absent,39.5,925.0,,,,,,,,,,,,,,
P15-DM-wide,weber2011,PKPPKP,phase_absent,39.5,925.0,,,,,,,,,,,,,,
P15-DM-wide,weber2011,PKP,phase_absent,39.5,925.0,,,,,,,,,,,,,,
P15-DM-wide,weber2011,ScS,target,39.5,925.0,16.0,16.0,159.83,473.12,313.29,-0.865,1.558,0.692,273.29,353.29,-2.365,0.635,False,False
P16-DM,vpremoon,PcP,target,33.5,1050.0,5.0,5.0,158.75,218.17,59.41,-0.806,1.173,0.367,19.41,99.41,-2.306,0.694,False,False
P16-DM,vpremoon,PKiKP,phase_absent,33.5,1050.0,,,,,,,,,,,,,,
P16-DM,vpremoon,PKKP,phase_absent,33.5,1050.0,,,,,,,,,,,,,,
P16-DM,vpremoon,PKPPKP,target,33.5,1050.0,5.0,5.0,158.75,923.9,765.14,-0.665,1.173,0.507,725.14,805.14,-2.165,0.835,False,False
P16-DM,vpremoon,PKP,phase_absent,33.5,1050.0,,,,,,,,,,,,,,
P16-DM,vpremoon,ScS,target,33.5,1050.0,5.0,5.0,158.75,383.9,225.15,-0.523,1.173,0.649,185.15,265.15,-2.023,0.977,False,False
P16-DM,weber2011,PcP,target,33.5,1050.0,5.0,5.0,158.72,231.25,72.53,-0.837,1.143,0.306,32.53,112.53,-2.337,0.663,False,False
P16-DM,weber2011,PKiKP,target,33.5,1050.0,5.0,5.0,158.72,274.01,115.28,-0.902,1.143,0.241,75.28,155.28,-2.402,0.598,False,False
P16-DM,weber2011,PKKP,phase_absent,33.5,1050.0,,,,,,,,,,,,,,
P16-DM,weber2011,PKPPKP,phase_absent,33.5,1050.0,,,,,,,,,,,,,,
P16-DM,weber2011,PKP,phase_absent,33.5,1050.0,,,,,,,,,,,,,,
P16-DM,weber2011,ScS,target,33.5,1050.0,5.0,5.0,158.72,442.1,283.38,-0.513,1.143,0.63,243.38,323.38,-2.013,0.987,False,False
P16-DM-wide,vpremoon,PcP,target,41.5,900.0,14.0,14.0,161.44,239.22,77.78,-1.281,1.696,0.415,37.78,117.78,-2.781,0.219,False,False
P16-DM-wide,vpremoon,PKiKP,phase_absent,41.5,900.0,,,,,,,,,,,,,,
P16-DM-wide,vpremoon,PKKP,phase_absent,41.5,900.0,,,,,,,,,,,,,,
P16-DM-wide,vpremoon,PKPPKP,target,41.5,900.0,14.0,14.0,161.44,945.57,784.13,-1.156,1.696,0.54,744.13,824.13,-2.656,0.344,False,False
P16-DM-wide,vpremoon,PKP,phase_absent,41.5,900.0,,,,,,,,,,,,,,
P16-DM-wide,vpremoon,ScS,target,41.5,900.0,14.0,14.0,161.44,421.07,259.62,-0.962,1.696,0.734,219.62,299.62,-2.462,0.538,False,False
P16-DM-wide,weber2011,PcP,target,41.5,900.0,14.0,14.0,162.09,251.13,89.04,-1.297,1.647,0.35,49.04,129.04,-2.797,0.203,False,False
P16-DM-wide,weber2011,PKiKP,target,41.5,900.0,14.0,14.0,162.09,293.5,131.4,-1.366,1.647,0.281,91.4,171.4,-2.866,0.134,False,False
P16-DM-wide,weber2011,PKKP,phase_absent,41.5,900.0,,,,,,,,,,,,,,
P16-DM-wide,weber2011,PKPPKP,phase_absent,41.5,900.0,,,,,,,,,,,,,,
P16-DM-wide,weber2011,PKP,phase_absent,41.5,900.0,,,,,,,,,,,,,,
P16-DM-wide,weber2011,ScS,target,41.5,900.0,14.0,14.0,162.09,479.95,317.86,-0.929,1.647,0.718,277.86,357.86,-2.429,0.571,False,False
S12-SHQ,vpremoon,PcP,target,55.5,0.0,1.0,1.0,220.89,362.27,141.38,-2.905,3.374,0.468,101.38,181.38,-4.405,-1.405,False,False
S12-SHQ,vpremoon,PKiKP,phase_absent,55.5,0.0,,,,,,,,,,,,,,
S12-SHQ,vpremoon,PKKP,phase_absent,55.5,0.0,,,,,,,,,,,,,,
S12-SHQ,vpremoon,PKPPKP,target,55.5,0.0,1.0,1.0,220.89,1069.28,848.39,-2.803,3.374,0.571,808.39,888.39,-4.303,-1.303,False,False
S12-SHQ,vpremoon,PKP,phase_absent,55.5,0.0,,,,,,,,,,,,,,
S12-SHQ,vpremoon,ScS,target,55.5,0.0,1.0,1.0,220.89,636.63,415.74,-2.547,3.374,0.827,375.74,455.74,-4.047,-1.047,False,False
S12-SHQ,weber2011,PcP,target,55.5,0.0,1.0,1.0,221.93,374.91,152.99,-2.905,3.309,0.405,112.99,192.99,-4.405,-1.405,False,False
S12-SHQ,weber2011,PKiKP,target,55.5,0.0,1.0,1.0,221.93,416.69,194.77,-2.975,3.309,0.334,154.77,234.77,-4.475,-1.475,False,False
S12-SHQ,weber2011,PKKP,phase_absent,55.5,0.0,,,,,,,,,,,,,,
S12-SHQ,weber2011,PKPPKP,phase_absent,55.5,0.0,,,,,,,,,,,,,,
S12-SHQ,weber2011,PKP,phase_absent,55.5,0.0,,,,,,,,,,,,,,
S12-SHQ,weber2011,ScS,target,55.5,0.0,1.0,1.0,221.93,700.29,478.36,-2.491,3.309,0.818,438.36,518.36,-3.991,-0.991,False,False
S14-SHQ,vpremoon,PcP,target,56.5,0.0,5.0,0.0,224.26,362.74,138.48,-2.876,3.352,0.475,98.48,178.48,-4.376,-1.376,False,False
S14-SHQ,vpremoon,PKiKP,phase_absent,56.5,0.0,,,,,,,,,,,,,,
S14-SHQ,vpremoon,PKKP,phase_absent,56.5,0.0,,,,,,,,,,,,,,
S14-SHQ,vpremoon,PKPPKP,target,56.5,0.0,5.0,0.0,224.26,1069.85,845.6,-2.775,3.352,0.577,805.6,885.6,-4.275,-1.275,False,False
S14-SHQ,vpremoon,PKP,phase_absent,56.5,0.0,,,,,,,,,,,,,,
S14-SHQ,vpremoon,ScS,target,56.5,0.0,5.0,0.0,224.26,637.46,413.21,-2.511,3.352,0.84,373.21,453.21,-4.011,-1.011,False,False
S14-SHQ,weber2011,PcP,target,56.5,0.0,5.0,0.0,225.23,375.32,150.09,-2.89,3.3,0.411,110.09,190.09,-4.39,-1.39,False,False
S14-SHQ,weber2011,PKiKP,target,56.5,0.0,5.0,0.0,225.23,417.03,191.8,-2.961,3.3,0.34,151.8,231.8,-4.461,-1.461,False,False
S14-SHQ,weber2011,PKKP,phase_absent,56.5,0.0,,,,,,,,,,,,,,
S14-SHQ,weber2011,PKPPKP,phase_absent,56.5,0.0,,,,,,,,,,,,,,
S14-SHQ,weber2011,PKP,phase_absent,56.5,0.0,,,,,,,,,,,,,,
S14-SHQ,weber2011,ScS,target,56.5,0.0,5.0,0.0,225.23,701.11,475.88,-2.469,3.3,0.832,435.88,515.88,-3.969,-0.969,False,False
S15-SHQ,vpremoon,PcP,target,41.5,0.0,6.0,6.0,171.89,356.44,184.54,-3.27,3.632,0.363,144.54,224.54,-4.77,-1.77,False,False
S15-SHQ,vpremoon,PKiKP,phase_absent,41.5,0.0,,,,,,,,,,,,,,
S15-SHQ,vpremoon,PKKP,phase_absent,41.5,0.0,,,,,,,,,,,,,,
S15-SHQ,vpremoon,PKPPKP,target,41.5,0.0,6.0,6.0,171.89,1061.9,890.01,-3.155,3.632,0.478,850.01,930.01,-4.655,-1.655,False,False
S15-SHQ,vpremoon,PKP,phase_absent,41.5,0.0,,,,,,,,,,,,,,
S15-SHQ,vpremoon,ScS,target,41.5,0.0,6.0,6.0,171.89,626.33,454.44,-2.992,3.632,0.641,414.44,494.44,-4.492,-1.492,False,False
S15-SHQ,weber2011,PcP,target,41.5,0.0,6.0,6.0,173.03,369.89,196.86,-3.308,3.619,0.312,156.86,236.86,-4.808,-1.808,False,False
S15-SHQ,weber2011,PKiKP,target,41.5,0.0,6.0,6.0,173.03,412.56,239.53,-3.364,3.619,0.255,199.53,279.53,-4.864,-1.864,False,False
S15-SHQ,weber2011,PKKP,phase_absent,41.5,0.0,,,,,,,,,,,,,,
S15-SHQ,weber2011,PKPPKP,phase_absent,41.5,0.0,,,,,,,,,,,,,,
S15-SHQ,weber2011,PKP,phase_absent,41.5,0.0,,,,,,,,,,,,,,
S15-SHQ,weber2011,ScS,target,41.5,0.0,6.0,6.0,173.03,690.15,517.12,-2.992,3.619,0.627,477.12,557.12,-4.492,-1.492,False,False
S16-SHQ,vpremoon,PcP,target,41.0,0.0,3.0,3.0,170.07,356.26,186.18,-3.28,3.639,0.359,146.18,226.18,-4.78,-1.78,False,False
S16-SHQ,vpremoon,PKiKP,phase_absent,41.0,0.0,,,,,,,,,,,,,,
S16-SHQ,vpremoon,PKKP,phase_absent,41.0,0.0,,,,,,,,,,,,,,
S16-SHQ,vpremoon,PKPPKP,target,41.0,0.0,3.0,3.0,170.07,1061.67,891.59,-3.165,3.639,0.474,851.59,931.59,-4.665,-1.665,False,False
S16-SHQ,vpremoon,PKP,phase_absent,41.0,0.0,,,,,,,,,,,,,,
S16-SHQ,vpremoon,ScS,target,41.0,0.0,3.0,3.0,170.07,626.01,455.93,-3.005,3.639,0.634,415.93,495.93,-4.505,-1.505,False,False
S16-SHQ,weber2011,PcP,target,41.0,0.0,3.0,3.0,171.22,369.74,198.52,-3.317,3.625,0.308,158.52,238.52,-4.817,-1.817,False,False
S16-SHQ,weber2011,PKiKP,target,41.0,0.0,3.0,3.0,171.22,412.43,241.21,-3.373,3.625,0.252,201.21,281.21,-4.873,-1.873,False,False
S16-SHQ,weber2011,PKKP,phase_absent,41.0,0.0,,,,,,,,,,,,,,
S16-SHQ,weber2011,PKPPKP,phase_absent,41.0,0.0,,,,,,,,,,,,,,
S16-SHQ,weber2011,PKP,phase_absent,41.0,0.0,,,,,,,,,,,,,,
S16-SHQ,weber2011,ScS,target,41.0,0.0,3.0,3.0,171.22,689.84,518.62,-3.004,3.625,0.62,478.62,558.62,-4.504,-1.504,False,False
