event_id,event_set,v14_catalogue_verdict,v14_event_type,v14_quality,v14_origin_time_utc,v14_distance_deg,v14_distance_uncertainty_deg,v14_distance_uncertainty_source,v14_baz_deg,v14_baz_verdict,v14_baz_uncertainty_deg_or_range,v14_baz_uncertainty_verdict,v14_magnitude_type,v14_magnitude,v14_magnitude_uncertainty,v14_preferred_depth_km,v14_preferred_depth_verdict,v14_alternate_depths_km,v14_alternate_depths_verdict,v14_pick_count,v14_pick_summary,bi2025_verdict,bi2025_role,bi2025_direct_p_filterbank_t_relative_to_mqs_p_s,bi2025_phase_evidence,per_event_literature_verdict,per_event_literature_notes,garcia2025_nest_verdict,garcia2025_nest_membership,other_repeater_verdict,other_repeater_membership,cerberus_family_verdict,cerberus_family_notes,primary_source_keys
S1133c,vespagram,PARTIALLY-VERIFIED,BROADBAND,A,2022-02-03T08:04:38.145711Z,30.19,1.3,Bi2025 Extended Data Table 1 reports MQS/V14 event-list uncertainty; QuakeML preferred origin lacks uncertainty child tags,91.0,VERIFIED,,NO-EVIDENCE,MW,3.8,+0.3/-0.3,,NO-EVIDENCE,,NO-EVIDENCE,14,P=2022-02-03T08:08:27.938504Z +1/-1s; S=2022-02-03T08:11:23.155004Z +1/-1s; start=2022-02-03T08:08:25.290742Z; noise_start=2022-02-03T08:03:16.759811Z; noise_end=2022-02-03T08:06:27.143919Z; S_spectral_start=2022-02-03T08:11:20.48868Z; S_spectral_end=2022-02-03T08:12:30.160142Z; P_spectral_start=2022-02-03T08:08:25.824618Z; P_spectral_end=2022-02-03T08:09:00.033377Z; y1=2022-02-03T08:08:27.287177Z +2/-2s; Peak_M2.4=2022-02-03T08:09:34.57514Z; Peak_MbS=2022-02-03T08:11:24.412203Z; Peak_MbP=2022-02-03T08:08:29.936919Z; end=2022-02-03T08:43:38.970907Z,VERIFIED,one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2,5.5 +/- 3.1,PPrimePPrime_n,VERIFIED,Bi2025: one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2 | Bi2025 phase rows: PPrimePPrime_n | Cerberus/source-region: Ceylan et al. 2023 says these later events have V14 locations comparable with Stahler et al. 2022 Cerberus events and interprets the class as originating from Cerberus Fossae.,NO-EVIDENCE,Full Garcia et al. 2025 paper validates VF triplet S0334b/S0334c/S0343a and lists HF candidate S1008a/S1073d; this target event is not named in the validated nest results.,NO-EVIDENCE,No verified repeater/parent membership found in the primary sources used here.,PARTIALLY-VERIFIED,Ceylan et al. 2023 says these later events have V14 locations comparable with Stahler et al. 2022 Cerberus events and interprets the class as originating from Cerberus Fossae.,V14; V14PDF; Bi2025; Bi2025SI; Garcia2025; Ceylan2023
S0290b,vespagram,PARTIALLY-VERIFIED,LOW_FREQUENCY,B,2019-09-21T03:15:13.328456Z,30.37,8.2,Bi2025 Extended Data Table 1 reports MQS/V14 event-list uncertainty; QuakeML preferred origin lacks uncertainty child tags,,NO-EVIDENCE,,NO-EVIDENCE,MW,3.2,+0.8/-0.8,,NO-EVIDENCE,,NO-EVIDENCE,13,S_spectral_end=2019-09-21T03:24:01.283363Z; x1=2019-09-21T03:22:40.907413Z +2/-2s; noise_end=2019-09-21T03:14:08.059042Z; noise_start=2019-09-21T03:10:56.962651Z; start=2019-09-21T03:19:05.310837Z; P=2019-09-21T03:19:09.490618Z +20/-20s; P_spectral_start=2019-09-21T03:19:08.353471Z; Peak_MbP=2019-09-21T03:19:37.642668Z; P_spectral_end=2019-09-21T03:20:20.147346Z; S=2019-09-21T03:22:04.90569Z +20/-20s; S_spectral_start=2019-09-21T03:22:13.123118Z; Peak_MbS=2019-09-21T03:22:46.242666Z; end=2019-09-21T03:34:11.50826Z,VERIFIED,one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2,4.3 +/- 2.1,direct-P only / stack membership only,VERIFIED,Bi2025: one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2,NO-EVIDENCE,Full Garcia et al. 2025 paper validates VF triplet S0334b/S0334c/S0343a and lists HF candidate S1008a/S1073d; this target event is not named in the validated nest results.,NO-EVIDENCE,No verified repeater/parent membership found in the primary sources used here.,NO-EVIDENCE,No primary event-level Cerberus-family classification verified in this pass.,V14; V14PDF; Bi2025; Bi2025SI; Garcia2025
S1039b,vespagram,PARTIALLY-VERIFIED,BROADBAND,B,2021-10-29T16:14:25.453174Z,30.37,17.5,Bi2025 Extended Data Table 1 reports MQS/V14 event-list uncertainty; QuakeML preferred origin lacks uncertainty child tags,,NO-EVIDENCE,,NO-EVIDENCE,MW,3.0,+0.3/-0.3,,NO-EVIDENCE,,NO-EVIDENCE,12,S_spectral_start=2021-10-29T16:19:48.465549Z; P=2021-10-29T16:16:56.477198Z +60/-60s; start=2021-10-29T16:15:56.296678Z; S=2021-10-29T16:19:49.392138Z +2/-2s; noise_start=2021-10-29T16:11:03.171151Z; noise_end=2021-10-29T16:13:01.749943Z; P_spectral_start=2021-10-29T16:17:04.783052Z; P_spectral_end=2021-10-29T16:18:03.271238Z; S_spectral_end=2021-10-29T16:20:42.97871Z; Peak_MbS=2021-10-29T16:19:54.399178Z; Peak_MbP=2021-10-29T16:17:13.883126Z; end=2021-10-29T16:32:48.565967Z,VERIFIED,one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2,2.9 +/- 0.8,PKiKP,VERIFIED,Bi2025: one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2 | Bi2025 phase rows: PKiKP,NO-EVIDENCE,Full Garcia et al. 2025 paper validates VF triplet S0334b/S0334c/S0343a and lists HF candidate S1008a/S1073d; this target event is not named in the validated nest results.,NO-EVIDENCE,No verified repeater/parent membership found in the primary sources used here.,NO-EVIDENCE,No primary event-level Cerberus-family classification verified in this pass.,V14; V14PDF; Bi2025; Bi2025SI; Garcia2025
S1022a,vespagram,PARTIALLY-VERIFIED,LOW_FREQUENCY,A,2021-10-11T23:14:29.105382Z,30.73,2.0,Bi2025 Extended Data Table 1 reports MQS/V14 event-list uncertainty; QuakeML preferred origin lacks uncertainty child tags,63.0,VERIFIED,,NO-EVIDENCE,MW,3.6,+0.3/-0.3,,NO-EVIDENCE,,NO-EVIDENCE,12,S_spectral_end=2021-10-11T23:22:46.041481Z; P_spectral_end=2021-10-11T23:19:05.482059Z; Peak_MbS=2021-10-11T23:21:29.884096Z; Peak_MbP=2021-10-11T23:18:39.70785Z; noise_end=2021-10-11T23:03:51.648928Z; noise_start=2021-10-11T23:01:15.503297Z; S_spectral_start=2021-10-11T23:21:24.511053Z; S=2021-10-11T23:21:23.255908Z +2/-2s; P_spectral_start=2021-10-11T23:18:25.443683Z; start=2021-10-11T23:18:20.004721Z; P=2021-10-11T23:18:25.025302Z +5/-5s; end=2021-10-11T23:42:11.637592Z,VERIFIED,one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2,2.5 +/- 1.6,PPrimePPrime_r_ab,VERIFIED,Bi2025: one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2 | Bi2025 phase rows: PPrimePPrime_r_ab | Cerberus/source-region: Ceylan et al. 2023 says these later events have V14 locations comparable with Stahler et al. 2022 Cerberus events and interprets the class as originating from Cerberus Fossae.,NO-EVIDENCE,Full Garcia et al. 2025 paper validates VF triplet S0334b/S0334c/S0343a and lists HF candidate S1008a/S1073d; this target event is not named in the validated nest results.,NO-EVIDENCE,No verified repeater/parent membership found in the primary sources used here.,PARTIALLY-VERIFIED,Ceylan et al. 2023 says these later events have V14 locations comparable with Stahler et al. 2022 Cerberus events and interprets the class as originating from Cerberus Fossae.,V14; V14PDF; Bi2025; Bi2025SI; Garcia2025; Ceylan2023
S0484b,vespagram,PARTIALLY-VERIFIED,BROADBAND,B,2020-04-07T08:48:20.56793Z,31.80,5.9,Bi2025 Extended Data Table 1 reports MQS/V14 event-list uncertainty; QuakeML preferred origin lacks uncertainty child tags,100.0,VERIFIED,,NO-EVIDENCE,MW,2.9,+0.2/-0.2,,NO-EVIDENCE,Jacob2022:27 km; Jacob2022:21 km,VERIFIED,13,S_spectral_end=2020-04-07T08:56:35.293652Z; S=2020-04-07T08:55:28.51093Z +1/-1s; Peak_M2.4=2020-04-07T08:52:52.272695Z; Peak_MbP=2020-04-07T08:53:18.096985Z; Peak_MbS=2020-04-07T08:55:32.033135Z; S_spectral_start=2020-04-07T08:55:30.4335Z; P=2020-04-07T08:52:24.07744Z +20/-20s; P_spectral_end=2020-04-07T08:54:35.768515Z; P_spectral_start=2020-04-07T08:53:20.174417Z; noise_end=2020-04-07T08:50:07.676917Z; noise_start=2020-04-07T08:46:09.03177Z; start=2020-04-07T08:52:05.561869Z; end=2020-04-07T09:06:55.593365Z,VERIFIED,one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2,3.0 +/- 2.6,PKKP,VERIFIED,"Bi2025: one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2 | Bi2025 phase rows: PKKP | V14 embedded alternate-origin/literature refs: Jacob2022, Khan2021, Stahler2021 | Cerberus/source-region: Stahler et al. 2022 author table classifies this event as likely in Cerberus Fossae.",NO-EVIDENCE,Full Garcia et al. 2025 paper validates VF triplet S0334b/S0334c/S0343a and lists HF candidate S1008a/S1073d; this target event is not named in the validated nest results.,NO-EVIDENCE,No verified repeater/parent membership found in the primary sources used here.,PARTIALLY-VERIFIED,Stahler et al. 2022 author table classifies this event as likely in Cerberus Fossae.,V14; V14PDF; Bi2025; Bi2025SI; Garcia2025; Stahler2022; Stahler2022AuthorTable; Jacob2022; Khan2021; Stahler2021
S1197a,vespagram,PARTIALLY-VERIFIED,BROADBAND,B,2022-04-09T22:05:52.41687Z,31.98,1.5,Bi2025 Extended Data Table 1 reports MQS/V14 event-list uncertainty; QuakeML preferred origin lacks uncertainty child tags,,NO-EVIDENCE,,NO-EVIDENCE,MW,3.6,+0.3/-0.3,,NO-EVIDENCE,,NO-EVIDENCE,16,P=2022-04-09T22:09:55.523977Z +0.5/-0.5s; S=2022-04-09T22:13:00.58318Z +2/-2s; y1=2022-04-09T22:09:38.50699Z +5/-5s; noise_start=2022-04-09T22:02:10.827973Z; noise_end=2022-04-09T22:04:35.161331Z; start=2022-04-09T22:09:33.75355Z; end=2022-04-09T22:34:38.070666Z; P_spectral_start=2022-04-09T22:09:55.80855Z; P_spectral_end=2022-04-09T22:10:20.275835Z; S_spectral_start=2022-04-09T22:13:00.892607Z; S_spectral_end=2022-04-09T22:13:40.98362Z; Peak_MbP=2022-04-09T22:10:21.916889Z; Peak_MbS=2022-04-09T22:13:09.804766Z; Peak_M2.4=2022-04-09T22:10:09.583272Z; R1=2022-04-09T22:16:14.888621Z; R1=2022-04-09T22:16:24.870712Z,VERIFIED,one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2,3.7 +/- 1.6,PKiKP,VERIFIED,Bi2025: one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2 | Bi2025 phase rows: PKiKP | Ceylan2023: S0899d weak/no-S class; new BAZ estimates but no spatial clustering,NO-EVIDENCE,Full Garcia et al. 2025 paper validates VF triplet S0334b/S0334c/S0343a and lists HF candidate S1008a/S1073d; this target event is not named in the validated nest results.,NO-EVIDENCE,No verified repeater/parent membership found in the primary sources used here.,NO-EVIDENCE,Ceylan et al. 2023 gives new backazimuth estimates in the S0899d weak/no-S class but concludes this class shows no spatial clustering and the source is unknown.,V14; V14PDF; Bi2025; Bi2025SI; Garcia2025; Ceylan2023
S0105a,vespagram,PARTIALLY-VERIFIED,LOW_FREQUENCY,B,2019-03-14T20:59:21.050826Z,32.52,8.2,Bi2025 Extended Data Table 1 reports MQS/V14 event-list uncertainty; QuakeML preferred origin lacks uncertainty child tags,112.0,VERIFIED,,NO-EVIDENCE,MW,3.0,+0.5/-0.5,,NO-EVIDENCE,,NO-EVIDENCE,12,S_spectral_end=2019-03-14T21:08:48.413631Z; S_spectral_start=2019-03-14T21:06:39.810825Z; noise_end=2019-03-14T20:58:43.563427Z; noise_start=2019-03-14T20:57:00.329213Z; P_spectral_end=2019-03-14T21:04:57.929255Z; P_spectral_start=2019-03-14T21:04:10.282695Z; start=2019-03-14T21:03:28.123118Z; P=2019-03-14T21:03:31.110886Z +20/-20s; S=2019-03-14T21:06:39.413263Z +20/-20s; Peak_MbP=2019-03-14T21:04:09.726824Z; Peak_MbS=2019-03-14T21:07:01.795416Z; end=2019-03-14T21:18:57.797013Z,VERIFIED,one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2,3.0 +/- 1.8,PPrimePPrime_n,VERIFIED,Bi2025: one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2 | Bi2025 phase rows: PPrimePPrime_n | Sun2022: Sun and Tkalcic 2022 state no repetitive marsquakes were matched for S0105a at their threshold. | Cerberus/source-region: Stahler et al. 2022 author table classifies this event as likely in Cerberus Fossae.,NO-EVIDENCE,Full Garcia et al. 2025 paper validates VF triplet S0334b/S0334c/S0343a and lists HF candidate S1008a/S1073d; this target event is not named in the validated nest results.,REFUTED,Sun and Tkalcic 2022 state no repetitive marsquakes were matched for S0105a at their threshold.,PARTIALLY-VERIFIED,Stahler et al. 2022 author table classifies this event as likely in Cerberus Fossae.,V14; V14PDF; Bi2025; Bi2025SI; Garcia2025; Stahler2022; Stahler2022AuthorTable; Sun2022
S0189a,vespagram,PARTIALLY-VERIFIED,LOW_FREQUENCY,B,2019-06-09T05:35:55.504179Z,33.42,8.2,Bi2025 Extended Data Table 1 reports MQS/V14 event-list uncertainty; QuakeML preferred origin lacks uncertainty child tags,,NO-EVIDENCE,,NO-EVIDENCE,MW,2.7,+0.3/-0.3,,NO-EVIDENCE,,NO-EVIDENCE,12,S_spectral_start=2019-06-09T05:43:34.000291Z; S_spectral_end=2019-06-09T05:48:20.372778Z; end=2019-06-09T05:57:57.663116Z; P_spectral_end=2019-06-09T05:42:09.743308Z; P_spectral_start=2019-06-09T05:40:39.653434Z; noise_end=2019-06-09T05:29:52.227901Z; noise_start=2019-06-09T05:22:43.15579Z; S=2019-06-09T05:43:19.4698Z +20/-20s; start=2019-06-09T05:40:05.486385Z; P=2019-06-09T05:40:05.564239Z +20/-20s; Peak_MbP=2019-06-09T05:41:04.844482Z; Peak_MbS=2019-06-09T05:44:05.646464Z,VERIFIED,one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2,4.2 +/- 1.8,direct-P only / stack membership only,VERIFIED,"Bi2025: one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2 | V14 embedded alternate-origin/literature refs: Khan2021, Stahler2021 | Sun2022: Sun and Tkalcic 2022 state no repetitive marsquakes were matched for S0189a at their threshold.",NO-EVIDENCE,Full Garcia et al. 2025 paper validates VF triplet S0334b/S0334c/S0343a and lists HF candidate S1008a/S1073d; this target event is not named in the validated nest results.,REFUTED,Sun and Tkalcic 2022 state no repetitive marsquakes were matched for S0189a at their threshold.,NO-EVIDENCE,No primary event-level Cerberus-family classification verified in this pass.,V14; V14PDF; Bi2025; Bi2025SI; Garcia2025; Sun2022; Khan2021; Stahler2021
S0784a,vespagram,PARTIALLY-VERIFIED,BROADBAND,B,2021-02-09T12:11:32.608736Z,34.50,3.6,Bi2025 Extended Data Table 1 reports MQS/V14 event-list uncertainty; QuakeML preferred origin lacks uncertainty child tags,115.0,VERIFIED,,NO-EVIDENCE,MW,3.3,+0.3/-0.3,,NO-EVIDENCE,Jacob2022:33 km; Jacob2022:15 km,VERIFIED,14,y1=2021-02-09T12:16:12.119661Z +10/-10s; S=2021-02-09T12:19:16.319304Z +5/-5s; start=2021-02-09T12:15:46.472278Z; P=2021-02-09T12:15:56.546674Z +10/-10s; noise_start=2021-02-09T12:11:27.571889Z; noise_end=2021-02-09T12:14:56.978347Z; S_spectral_start=2021-02-09T12:19:20.225397Z; S_spectral_end=2021-02-09T12:20:45.327929Z; Peak_MbP=2021-02-09T12:16:37.942792Z; Peak_MbS=2021-02-09T12:19:22.583801Z; Peak_M2.4=2021-02-09T12:16:26.744858Z; P_spectral_start=2021-02-09T12:15:59.906598Z; P_spectral_end=2021-02-09T12:17:29.179025Z; end=2021-02-09T12:45:37.927615Z,VERIFIED,one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2,4.4 +/- 2.6,direct-P only / stack membership only,VERIFIED,Bi2025: one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2 | V14 embedded alternate-origin/literature refs: Jacob2022 | Cerberus/source-region: Stahler et al. 2022 author table classifies this event as likely in Cerberus Fossae.,NO-EVIDENCE,Full Garcia et al. 2025 paper validates VF triplet S0334b/S0334c/S0343a and lists HF candidate S1008a/S1073d; this target event is not named in the validated nest results.,NO-EVIDENCE,No verified repeater/parent membership found in the primary sources used here.,PARTIALLY-VERIFIED,Stahler et al. 2022 author table classifies this event as likely in Cerberus Fossae.,V14; V14PDF; Bi2025; Bi2025SI; Garcia2025; Stahler2022; Stahler2022AuthorTable; Jacob2022
S1157a,vespagram,PARTIALLY-VERIFIED,BROADBAND,B,2022-02-27T01:02:36.620313Z,35.58,2.5,Bi2025 Extended Data Table 1 reports MQS/V14 event-list uncertainty; QuakeML preferred origin lacks uncertainty child tags,,NO-EVIDENCE,,NO-EVIDENCE,MW,3.8,+0.2/-0.2,,NO-EVIDENCE,,NO-EVIDENCE,17,start=2022-02-27T01:07:02.379242Z; x2=2022-02-27T01:22:10.697297Z +20/-20s; x1=2022-02-27T01:18:49.404565Z +60/-60s; y2=2022-02-27T01:18:43.480032Z +10/-10s; Peak_MbP=2022-02-27T01:07:14.87109Z; Peak_M2.4=2022-02-27T01:08:11.247695Z; y1=2022-02-27T01:07:13.3496Z +5/-5s; end=2022-02-27T02:12:41.53701Z; noise_end=2022-02-27T01:04:39.90146Z; noise_start=2022-02-27T01:03:00.619922Z; S_spectral_end=2022-02-27T01:13:34.521713Z; S_spectral_start=2022-02-27T01:11:11.491306Z; P_spectral_end=2022-02-27T01:09:09.166254Z; P_spectral_start=2022-02-27T01:07:09.020712Z; S=2022-02-27T01:10:33.077426Z +5/-5s; P=2022-02-27T01:07:07.386079Z +5/-5s; Peak_MbS=2022-02-27T01:11:17.831943Z,VERIFIED,one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2,3.2 +/- 2.3,direct-P only / stack membership only,VERIFIED,Bi2025: one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2 | Garcia2025: S1157a/S1157f and S1157a/S1157g are not doublets on the same fault segment; potential aftershocks on different segments not excluded | Garcia2025SI: Figures S11-S12 provide supporting pair-correlation plots for S1157a/S1157f and S1157a/S1157g.,REFUTED,"Garcia et al. 2025 states S1157a/S1157f and S1157a/S1157g are not doublets on the same fault segment, while not excluding potential aftershocks on different fault segments. Garcia2025SI Figures S11-S12 provide the supporting pair-correlation plots for S1157a/S1157f and S1157a/S1157g.",NO-EVIDENCE,No verified repeater/parent membership found in the primary sources used here.,NO-EVIDENCE,No primary event-level Cerberus-family classification verified in this pass.,V14; V14PDF; Bi2025; Bi2025SI; Garcia2025; Garcia2025SI
S1222a,vespagram,PARTIALLY-VERIFIED,BROADBAND,A,2022-05-04T23:23:07.856945Z,37.01,1.6,Bi2025 Extended Data Table 1 reports MQS/V14 event-list uncertainty; QuakeML preferred origin lacks uncertainty child tags,101.0,VERIFIED,,NO-EVIDENCE,MW,4.6,+0.3/-0.3,,NO-EVIDENCE,,NO-EVIDENCE,52,start=2022-05-04T23:27:45.331451Z; P=2022-05-04T23:27:45.836925Z +0.5/-0.5s; G1_1=2022-05-04T23:33:40.066413Z; G1_1=2022-05-04T23:33:41.42476Z; G1_1=2022-05-04T23:33:48.488167Z; G1_1=2022-05-04T23:34:17.87214Z; G1_1=2022-05-04T23:33:33.95385Z; G1_1=2022-05-04T23:34:19.866274Z; Peak_M2.4=2022-05-04T23:32:19.057758Z; S_spectral_end=2022-05-04T23:37:01.378327Z; S_spectral_start=2022-05-04T23:31:21.942364Z; noise_start=2022-05-04T23:19:10.019596Z; noise_end=2022-05-04T23:21:08.715758Z; y1=2022-05-04T23:27:46.352029Z +0.5/-0.5s; P_spectral_end=2022-05-04T23:28:55.464376Z; P_spectral_start=2022-05-04T23:27:46.978936Z; S=2022-05-04T23:31:20.152806Z +2/-2s; y2=2022-05-04T23:31:30.8537Z +10/-10s; Peak_MbP=2022-05-04T23:28:00.697014Z; Peak_MbS=2022-05-04T23:31:40.88565Z; R1=2022-05-04T23:35:58.366109Z; R1=2022-05-04T23:36:27.92939Z; R1=2022-05-04T23:36:48.269004Z; R1=2022-05-04T23:38:08.271485Z; R1=2022-05-04T23:36:14.369647Z; R1=2022-05-04T23:38:01.491614Z; G1=2022-05-04T23:34:23.031424Z; G1=2022-05-04T23:32:38.420506Z; G1=2022-05-04T23:33:38.241118Z; G1=2022-05-04T23:33:01.684078Z; G1=2022-05-04T23:34:36.195674Z; G1=2022-05-04T23:34:31.25908Z; G1=2022-05-04T23:34:04.930581Z; G1=2022-05-04T23:34:03.166373Z; G1=2022-05-04T23:34:20.385248Z; R1_1=2022-05-04T23:34:23.216594Z; R1_1=2022-05-04T23:34:12.646024Z; R1_1=2022-05-04T23:33:59.432813Z; R1_1=2022-05-04T23:34:23.657035Z; R1_1=2022-05-04T23:34:24.978356Z; R1_1=2022-05-04T23:33:33.006391Z; R1_1=2022-05-04T23:34:09.122501Z; R1_1=2022-05-04T23:34:26.096244Z; R1_1=2022-05-04T23:34:25.845202Z; R3=2022-05-05T01:38:57.590005Z; R2=2022-05-05T01:14:05.085823Z; R1=2022-05-04T23:35:59.123477Z; R3=2022-05-05T01:39:17.176674Z; R2=2022-05-05T01:13:49.416488Z; x4=2022-05-05T03:16:43.405901Z +60/-60s; x5=2022-05-05T03:42:00.673873Z +60/-60s; end=2022-05-05T10:00:44.215778Z,VERIFIED,one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2,8.7 +/- 2.3,PPrimePPrime_r_ab,VERIFIED,"Bi2025: one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2 | Bi2025 phase rows: PPrimePPrime_r_ab | Cerberus/source-region: Ceylan et al. 2023 explicitly states S1222a did not originate in Cerberus Fossae, despite envelope similarity to the class. | Dedicated S1222a analyses: Kawamura2023 event characterization; Fernando2023 tectonic origin; Maguire2023 focal mechanism; Kim2023Dichotomy surface waves; Lognonne2023 normal modes; Onodera2023 coda; Knapmeyer2023 moment rate",NO-EVIDENCE,Full Garcia et al. 2025 paper validates VF triplet S0334b/S0334c/S0343a and lists HF candidate S1008a/S1073d; this target event is not named in the validated nest results.,NO-EVIDENCE,No verified repeater/parent membership found in the primary sources used here.,REFUTED,"Ceylan et al. 2023 explicitly states S1222a did not originate in Cerberus Fossae, despite envelope similarity to the class.",V14; V14PDF; Bi2025; Bi2025SI; Garcia2025; Ceylan2023; Kawamura2023; Fernando2023; Maguire2023; Kim2023Dichotomy; Lognonne2023; Onodera2023; Knapmeyer2023
S1012d,vespagram,PARTIALLY-VERIFIED,LOW_FREQUENCY,B,2021-10-02T00:29:27.840413Z,38.27,3.3,Bi2025 Extended Data Table 1 reports MQS/V14 event-list uncertainty; QuakeML preferred origin lacks uncertainty child tags,,NO-EVIDENCE,,NO-EVIDENCE,MW,3.3,+0.4/-0.4,,NO-EVIDENCE,,NO-EVIDENCE,12,S_spectral_end=2021-10-02T00:38:25.50768Z; S=2021-10-02T00:37:54.098374Z +2/-2s; S_spectral_start=2021-10-02T00:37:50.650538Z; P_spectral_end=2021-10-02T00:34:56.837533Z; P_spectral_start=2021-10-02T00:34:12.116415Z; Peak_MbS=2021-10-02T00:37:58.027217Z; Peak_MbP=2021-10-02T00:34:22.02673Z; noise_end=2021-10-02T00:32:00.758458Z; noise_start=2021-10-02T00:28:55.514272Z; end=2021-10-02T00:48:05.827557Z; P=2021-10-02T00:34:13.600173Z +10/-10s; start=2021-10-02T00:34:03.626131Z,VERIFIED,one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2,4.2 +/- 2.5,PKKP; PKiKP,VERIFIED,"Bi2025: one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2 | Bi2025 phase rows: PKKP, PKiKP | Ceylan2023: S0899d weak/no-S class; new BAZ estimates but no spatial clustering",NO-EVIDENCE,Full Garcia et al. 2025 paper validates VF triplet S0334b/S0334c/S0343a and lists HF candidate S1008a/S1073d; this target event is not named in the validated nest results.,NO-EVIDENCE,No verified repeater/parent membership found in the primary sources used here.,NO-EVIDENCE,Ceylan et al. 2023 gives new backazimuth estimates in the S0899d weak/no-S class but concludes this class shows no spatial clustering and the source is unknown.,V14; V14PDF; Bi2025; Bi2025SI; Garcia2025; Ceylan2023
S0325a,vespagram,PARTIALLY-VERIFIED,LOW_FREQUENCY,B,2019-10-26T06:54:04.954477Z,39.71,6.1,Bi2025 Extended Data Table 1 reports MQS/V14 event-list uncertainty; QuakeML preferred origin lacks uncertainty child tags,57.0,VERIFIED,,NO-EVIDENCE,MW,3.7,+0.3/-0.3,,NO-EVIDENCE,Jacob2022:30 km; Jacob2022:18 km,VERIFIED,12,P_spectral_start=2019-10-26T06:58:55.6988Z; P_spectral_end=2019-10-26T07:00:29.35734Z; start=2019-10-26T06:58:55.171919Z; S_spectral_end=2019-10-26T07:05:41.974917Z; S_spectral_start=2019-10-26T07:02:46.931186Z; S=2019-10-26T07:02:46.088483Z +20/-20s; Peak_MbS=2019-10-26T07:03:07.639663Z; Peak_MbP=2019-10-26T06:59:11.111078Z; P=2019-10-26T06:58:57.000523Z +2/-2s; noise_end=2019-10-26T06:58:39.172789Z; noise_start=2019-10-26T06:55:38.181497Z; end=2019-10-26T07:24:56.805942Z,VERIFIED,one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2,2.5 +/- 2.4,direct-P only / stack membership only,VERIFIED,"Bi2025: one of 23 distance<40deg events used in source-array vespagram; direct-P filter-bank row in Supplementary Table 2 | V14 embedded alternate-origin/literature refs: Jacob2022, Khan2021, Stahler2021 | Cerberus/source-region: Stahler et al. 2022 author table lists likely in Cerberus Fossae, while Ceylan et al. 2023 places S0325a in the S0899d weak/no-S class whose source region is unknown.",NO-EVIDENCE,Full Garcia et al. 2025 paper validates VF triplet S0334b/S0334c/S0343a and lists HF candidate S1008a/S1073d; this target event is not named in the validated nest results.,NO-EVIDENCE,No verified repeater/parent membership found in the primary sources used here.,CONFLICTED,"Stahler et al. 2022 author table lists likely in Cerberus Fossae, while Ceylan et al. 2023 places S0325a in the S0899d weak/no-S class whose source region is unknown.",V14; V14PDF; Bi2025; Bi2025SI; Garcia2025; Ceylan2023; Stahler2022; Stahler2022AuthorTable; Jacob2022; Khan2021; Stahler2021
