#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime
IU|KIP|00|BHZ|21.42|-158.0112|77.0|33.0|0.0|-90.0|Streckeisen STS-1V/VBB Seismometer|9.09011E8|0.02|m/s|20.0|2006-05-24T18:51:00.0000|2009-07-30T00:00:00.0000
IU|KIP|00|BHZ|21.42|-158.0112|77.0|33.0|0.0|-90.0|Streckeisen STS-1V/VBB Seismometer|9.09011E8|0.02|m/s|20.0|2009-07-30T00:00:00.0000|2010-08-18T00:00:00.0000
IU|KIP|00|BHZ|21.42|-158.0112|77.0|33.0|0.0|-90.0|Streckeisen STS-1VBB w/E300|5.97142E9|0.05|m/s|20.0|2010-08-18T00:00:00.0000|2010-10-08T19:16:59.0000
IU|KIP|00|BHZ|21.42|-158.0112|77.0|33.0|0.0|-90.0|Streckeisen STS-1VBB w/E300|5.97142E9|0.05|m/s|20.0|2010-10-08T19:16:59.0000|2011-11-02T03:40:16.0000
IU|KIP|00|BHZ|21.42|-158.0112|77.0|33.0|0.0|-90.0|Streckeisen STS-1VBB w/E300|5.97141E9|0.05|m/s|20.0|2011-11-02T03:40:16.0000|2011-11-11T19:05:59.0000
IU|KIP|00|BHZ|21.42|-158.0112|77.0|33.0|0.0|-90.0|Streckeisen STS-1VBB w/E300|5.97142E9|0.05|m/s|20.0|2011-11-11T19:05:59.0000|2018-06-29T02:00:00.0000
IU|KIP|00|BHZ|21.42|-158.0112|77.0|33.0|0.0|-90.0|Streckeisen STS-6A VBB Seismometer|1.98475E9|0.02|m/s|40.0|2018-06-29T02:00:00.0000|2021-10-08T16:45:00.0000
IU|KIP|00|BHZ|21.42|-158.0112|77.0|33.0|0.0|-90.0|Streckeisen STS-1VBB w/E300|1.49277E9|0.02|m/s|20.0|2021-10-08T16:45:00.0000|2022-03-22T20:00:00.0000
IU|KIP|00|BHZ|21.42|-158.0112|77.0|33.0|0.0|-90.0|Streckeisen STS-6A VBB Seismometer|1.98475E9|0.02|m/s|40.0|2022-03-22T20:00:00.0000|2022-08-08T20:00:00.0000
IU|KIP|00|BHZ|21.42|-158.0112|77.0|33.0|0.0|-90.0|Streckeisen STS-6A VBB Seismometer|1.98475E9|0.02|m/s|40.0|2022-08-08T20:00:00.0000|
IU|MAJO|00|BHZ|36.54567|138.20406|405.0|0.0|0.0|-90.0|Streckeisen STS-1V/VBB Seismometer|1.03006E9|0.02|m/s|20.0|1999-04-20T04:59:00.0000|2006-04-23T00:00:00.0000
IU|MAJO|00|BHZ|36.54567|138.20406|405.0|0.0|0.0|-90.0|Streckeisen STS-1V/VBB Seismometer|9.99023E8|0.02|m/s|20.0|2006-04-23T00:00:00.0000|2009-07-30T00:00:00.0000
IU|MAJO|00|BHZ|36.54567|138.20406|405.0|0.0|0.0|-90.0|Streckeisen STS-1V/VBB Seismometer|1.03592E9|0.02|m/s|20.0|2009-07-30T00:00:00.0000|2009-11-07T12:00:00.0000
IU|MAJO|00|BHZ|36.54567|138.20406|405.0|0.0|0.0|-90.0|Streckeisen STS-1VBB w/E300|6.00756E9|0.05|m/s|20.0|2009-11-07T12:00:00.0000|2011-01-26T19:55:59.0000
IU|MAJO|00|BHZ|36.54567|138.20406|405.0|0.0|0.0|-90.0|Streckeisen STS-1VBB w/E300|6.00756E9|0.05|m/s|20.0|2011-01-26T19:55:59.0000|2012-04-09T00:00:00.0000
IU|MAJO|00|BHZ|36.54567|138.20406|405.0|0.0|0.0|-90.0|Streckeisen STS-1VBB w/E300|6.00756E9|0.05|m/s|20.0|2012-04-09T00:00:00.0000|2012-08-03T18:54:00.0000
IU|MAJO|00|BHZ|36.54567|138.20406|405.0|0.0|0.0|-90.0|Streckeisen STS-1VBB w/E300|6.00756E9|0.05|m/s|20.0|2012-08-03T18:54:00.0000|2014-05-08T14:00:00.0000
IU|MAJO|00|BHZ|36.54567|138.20406|405.0|0.0|0.0|-90.0|Streckeisen STS-1VBB w/E300|6.00756E9|0.05|m/s|20.0|2014-05-08T14:00:00.0000|2014-06-16T17:17:00.0000
IU|MAJO|00|BHZ|36.54567|138.20406|405.0|0.0|0.0|-90.0|Streckeisen STS-1VBB w/E300|6.00756E9|0.05|m/s|20.0|2014-06-16T17:17:00.0000|2023-09-22T08:00:00.0000
IU|MAJO|00|BHZ|36.54567|138.20406|405.0|0.0|0.0|-90.0|Streckeisen STS-6A VBB Seismometer|1.98475E9|0.02|m/s|40.0|2023-09-22T08:00:00.0000|
