held_out_event,time_s,slowness_sdeg,power,support_count,branch,abs_dt_vs_full_s,abs_ds_vs_full_sdeg,branch_flip,json_sha256,npz_sha256,s3_npz_uri,s3_json_uri
S0820a,663.8,-3.6363636363636367,1.017885808278677,22,662-family,0.0,0.0,False,59a8d7cf18c2e13c66f7c5b2cc6665e75fbb5777c3009ed63b2e7c6b4c54cfbd,65c54a12668fbdb9d8d613628e7b1539c9ce6f0edf9b4c7bcedb6418d67af524,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S0820a.npz,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S0820a.json
S0864a,601.95,-2.8282828282828287,0.9068139101847029,22,602-family,61.84999999999991,0.808080808080808,True,37abd979eed155047b20c8df7ed7e7b595e81aab69fa022ba6c294c0b171915d,d15c72446cff7b4f9709af9841281ba5d3e459c95284df66445c831141efddf8,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S0864a.npz,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S0864a.json
S0916d,663.95,-3.6363636363636367,0.9780440677835174,22,662-family,0.15000000000009095,0.0,False,44b53ae91388b583ecea6f0d99a2a48682f45eeba8fa45fa9ba821071144d777,a366d20768202c9b6199600a883204318bbbfae7c0cdf7028f7447799ee36d37,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S0916d.npz,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S0916d.json
S0918a,663.95,-3.6363636363636367,0.9790976571424387,22,662-family,0.15000000000009095,0.0,False,2439e536b57157d8fd572affc6e2c37d917d68ec055f5dd2e27a3cd964811f4e,d0048ffa1b67973432101caee92bb9a14f29e13b631b30fd4b8360def386db90,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S0918a.npz,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S0918a.json
S1012d,602.15,-2.6262626262626263,0.9826600329201534,22,602-family,61.64999999999998,1.0101010101010104,True,ef39f3de7f942405ca1ac1c5d5ddffc55d4d9bdebc2c7a3f95683e5e27f2ae32,faf93e88c1908048e10778f524645e6ebc3b681476ce26a738cc714f965249a5,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S1012d.npz,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S1012d.json
S1015f,664.75,-3.737373737373738,0.8943330732104513,22,662-family,0.9500000000000455,0.10101010101010122,False,fadd4dc6ab044d77bf206151632282cb0ffdc9f65b2f8912fb0d5dbd52c8cf55,731884cd34c1974ab0e303df00165a9239e5ced650013e15d28a368d77a4acf9,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S1015f.npz,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S1015f.json
S1022a,602.2,-2.8282828282828287,0.8848422548542715,22,602-family,61.59999999999991,0.808080808080808,True,36bf237aa945ea2810ca0f4c692dd9f87bb36f8e7c309953104b31df1ec6c53d,cd686d6abde7fc5b17a7753e71df84d43ec20288465902f34a8c5962332a996e,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S1022a.npz,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S1022a.json
S1039b,602.05,-2.8282828282828287,0.9002741038174087,22,602-family,61.75,0.808080808080808,True,31bb6e32c3eb8fdac2c8057122044c5645b7bdfc6dc1655a21a2cb779690cbd5,786f7b7f78f0d417f7a3296fba68d9a18245e009bb4991fae2723e1536e18d03,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S1039b.npz,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S1039b.json
S1048d,662.95,-3.5353535353535355,0.9292872437004751,22,662-family,0.849999999999909,0.10101010101010122,False,191bd8df2deddbc4c7a6306240f9c290d8de2536102c9e54444e45491d2d4973,8a4783b78b1ae66c5d4e05af3177334ede5b08033226dee44f357169b9a27be5,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S1048d.npz,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S1048d.json
S1133c,663.95,0.0,1.0247542887173366,22,662-family,0.15000000000009095,3.6363636363636367,False,4a34b13df0dd3883ae3f03aa12ab7438fb339a9e3350f119e17763ba19b44038,895474d8ae7c2aa5a6b58859bc4b74aff5d4fd00e405aa38d093ae8e2a17ecbd,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S1133c.npz,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S1133c.json
S1157a,663.55,-3.6363636363636367,0.9574972242272373,22,662-family,0.25,0.0,False,c9d339caeb31e08d78f5dd8d3e66d1499f15e4f05ac18d0385a9b4c173f1dd76,d11db9e4392f9b532740dbbbb1c1d51a7353bccfd99836e87c5f29f30748ef34,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S1157a.npz,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S1157a.json
S1197a,664.0,0.0,0.9745404319604285,22,662-family,0.20000000000004547,3.6363636363636367,False,8607ede90c945f416b3e8cb5eafbc9b76bef6e199f39a6e5daabe3b29adb5ba6,f970527c73181cbc6e9f10f84102bc1c30e4864cdb8b58c5d69db011a60f9659,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S1197a.npz,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S1197a.json
S1222a,662.85,0.0,1.0047447554101614,22,662-family,0.9499999999999318,3.6363636363636367,False,08e6307cc2afbe973655a0cd8dac7f703e76fc29004b59aca7a1bc5625249de1,b80e1febb14d8eee637a956a73a406056b81f746e2a7f87895c153821ed67958,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S1222a.npz,s3://marsquake/paper0_evidence/20260726_loo_influence/hold_out_S1222a.json
